frameNo: 5 | Accumulated: 0MouseOnly?7760681200119
frameNo: 5 | Accumulated: 0MouseOnly?7760681220939
frameNo: 5 | Accumulated: 0MouseOnly?7760681227839
frameNo: 5 | Accumulated: 0MouseOnly?7760681248219
frameNo: 5 | Accumulated: 0MouseOnly?7760681302545
frameNo: 5 | Accumulated: 0MouseOnly?7760681329905
frameNo: 5 | Accumulated: 0MouseOnly?7760681337486
frameNo: 5 | Accumulated: 0MouseOnly?7760681356984
frameNo: 5 | Accumulated: 0MouseOnly?7760681384242
frameNo: 5 | Accumulated: 0MouseOnly?7760681411858
frameNo: 5 | Accumulated: 0MouseOnly?7760681439257
frameNo: 5 | Accumulated: 0MouseOnly?7760681466509
frameNo: 5 | Accumulated: 0MouseOnly?7760681493705
frameNo: 5 | Accumulated: 0MouseOnly?7760681521197
frameNo: 5 | Accumulated: 0MouseOnly?7760681532065
frameNo: 5 | Accumulated: 0MouseOnly?7760681548114
frameNo: 5 | Accumulated: 0MouseOnly?7760681551787
frameNo: 5 | Accumulated: 0MouseOnly?7760681575583
frameNo: 5 | Accumulated: 0MouseOnly?7760681607281
frameNo: 5 | Accumulated: 0MouseOnly?7760681632437
frameNo: 5 | Accumulated: 0MouseOnly?7760681657234
frameNo: 5 | Accumulated: 0MouseOnly?7760681711907
frameNo: 5 | Accumulated: 0MouseOnly?7760681739158
frameNo: 5 | Accumulated: 0MouseOnly?7760681766403
frameNo: 5 | Accumulated: 0MouseOnly?7760681793512
frameNo: 5 | Accumulated: 0MouseOnly?7760681820757
frameNo: 5 | Accumulated: 0MouseOnly?7760681848201
frameNo: 5 | Accumulated: 0MouseOnly?7760681850509
frameNo: 5 | Accumulated: 0MouseOnly?7760681854931
frameNo: 5 | Accumulated: 0MouseOnly?7760681875346
frameNo: 5 | Accumulated: 0MouseOnly?7760681881580
frameNo: 5 | Accumulated: 0MouseOnly?7760681902696
frameNo: 5 | Accumulated: 0MouseOnly?7760681907787
frameNo: 5 | Accumulated: 0MouseOnly?7760681929864
frameNo: 5 | Accumulated: 0MouseOnly?7760681957255
frameNo: 5 | Accumulated: 0MouseOnly?7760681984465
frameNo: 5 | Accumulated: 1 | PTS: 7760682007828 | PTSInterval: 484961000
frameNo: 6 | Accumulated: 0MouseOnly?7760682012043
frameNo: 6 | Accumulated: 0MouseOnly?7760682039217
frameNo: 6 | Accumulated: 1 | PTS: 7760682063056 | PTSInterval: 16195000
frameNo: 7 | Accumulated: 0MouseOnly?7760682066336
frameNo: 7 | Accumulated: 0MouseOnly?7760682093759
frameNo: 7 | Accumulated: 0MouseOnly?7760682121009
frameNo: 7 | Accumulated: 0MouseOnly?7760682148576
frameNo: 7 | Accumulated: 0MouseOnly?7760682175866
frameNo: 7 | Accumulated: 0MouseOnly?7760682203424
frameNo: 7 | Accumulated: 0MouseOnly?7760682230575
frameNo: 7 | Accumulated: 0MouseOnly?7760682257749
frameNo: 7 | Accumulated: 0MouseOnly?7760682285725
frameNo: 7 | Accumulated: 0MouseOnly?7760682312476
frameNo: 7 | Accumulated: 0MouseOnly?7760682340250
frameNo: 7 | Accumulated: 0MouseOnly?7760682366742
frameNo: 7 | Accumulated: 0MouseOnly?7760682394239
frameNo: 7 | Accumulated: 0MouseOnly?7760682422427
frameNo: 7 | Accumulated: 0MouseOnly?7760682449040
frameNo: 7 | Accumulated: 0MouseOnly?7760682475948
frameNo: 7 | Accumulated: 1 | PTS: 7760682487489 | PTSInterval: 124464000
frameNo: 8 | Accumulated: 0MouseOnly?7760682503511
frameNo: 8 | Accumulated: 0MouseOnly?7760682530275
frameNo: 8 | Accumulated: 0MouseOnly?7760682557620
frameNo: 8 | Accumulated: 0MouseOnly?7760682584825
frameNo: 8 | Accumulated: 0MouseOnly?7760682601392
frameNo: 8 | Accumulated: 0MouseOnly?7760682612087
frameNo: 8 | Accumulated: 0MouseOnly?7760682614458
frameNo: 8 | Accumulated: 0MouseOnly?7760682618830
frameNo: 8 | Accumulated: 1 | PTS: 7760682638879 | PTSInterval: 44395000
frameNo: 9 | Accumulated: 0MouseOnly?7760682639223
frameNo: 9 | Accumulated: 0MouseOnly?7760682666488
frameNo: 9 | Accumulated: 1 | PTS: 7760682688250 | PTSInterval: 14478000
frameNo: 10 | Accumulated: 0MouseOnly?7760682693763
